,value,trip_class,origin,number_of_changes,gate,found_at,distance,destination,depart_date,airline,actual
0,10570.0,0,MOW,1.0,Kiwi.com,2022-02-09T07:12:09,0,SPU,2022-02-25,N4,True
1,7290.0,0,MOW,2.0,Kiwi.com,2022-02-03T12:52:42,0,SZF,2022-02-23,A4,True
2,8130.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T07:10:22,0,ABA,2022-02-21,WZ,True
3,8220.0,0,MOW,1.0,Kiwi.com,2022-02-09T09:46:49,0,CAI,2022-02-28,DP,True
4,6819.0,0,MOW,2.0,Kiwi.com,2022-02-09T06:08:41,0,GZT,2022-02-16,DP,True
5,9698.0,0,MOW,3.0,SuperSaver,2022-02-08T22:09:22,0,BHX,2022-02-21,FR,True
6,7297.0,0,MOW,2.0,KupiBilet.ru,2022-02-09T09:23:22,0,PRG,2022-02-21,A3,True
7,12334.0,0,MOW,2.0,Kiwi.com,2022-02-03T10:50:38,0,CDT,2022-02-18,DP,True
8,6863.0,0,MOW,1.0,SuperSaver,2022-02-09T10:10:03,0,LCA,2022-02-26,A3,True
9,5865.0,0,MOW,1.0,Kiwi.com,2022-02-09T10:14:09,0,TLL,2022-02-16,FR,True
10,9145.0,0,MOW,3.0,KupiBilet.ru,2022-02-08T19:52:56,0,KSC,2022-02-21,A3,True
11,7139.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T10:00:11,0,JTR,2022-02-28,A3,True
12,2749.0,0,MOW,0.0,KupiBilet.ru,2022-02-09T10:26:35,0,ASF,2022-02-14,DP,True
13,7406.0,0,MOW,2.0,KupiBilet.ru,2022-02-09T09:31:02,0,DUB,2022-02-21,A3,True
14,7216.0,0,MOW,1.0,SuperSaver,2022-02-09T07:16:37,0,TIA,2022-02-28,A3,True
15,6411.0,0,MOW,0.0,SuperSaver,2022-02-09T08:42:59,0,FMM,2022-02-28,DP,True
16,1835.0,0,MOW,0.0,Rusline,2022-02-09T10:24:15,0,URS,2022-02-13,7R,True
17,4870.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T04:23:44,0,HMA,2022-02-23,DP,True
18,7717.0,0,MOW,3.0,KupiBilet.ru,2022-02-08T17:12:31,0,TLS,2022-02-28,A3,True
19,6218.0,0,MOW,2.0,Kiwi.com,2022-02-09T07:57:30,0,INI,2022-02-21,A3,True
20,13646.0,0,MOW,2.0,Kiwi.com,2022-02-03T08:58:54,0,PNQ,2022-02-09,N4,True
21,5957.0,0,MOW,0.0,OZON,2022-02-09T09:00:34,0,UUA,2022-02-09,RT,True
22,4185.0,0,MOW,0.0,Utair,2022-02-09T09:34:04,0,NOJ,2022-02-24,UT,True
23,10412.0,0,MOW,2.0,Kiwi.com,2022-02-02T13:46:14,0,MPL,2022-02-16,FR,True
24,7315.0,0,MOW,1.0,SuperKassa.ru,2022-02-09T09:53:45,0,USK,2022-02-11,UT,True
25,15039.0,0,MOW,2.0,KupiBilet.ru,2022-02-08T11:37:34,0,JYV,2022-02-25,IO,True
26,6790.0,0,MOW,1.0,Kiwi.com,2022-02-08T18:41:07,0,BEY,2022-02-22,PC,True
27,9911.0,0,MOW,2.0,Kiwi.com,2022-02-09T00:40:58,0,TUF,2022-02-10,PC,True
28,6023.0,0,MOW,1.0,Trip.com,2022-02-08T20:49:52,0,LUX,2022-02-24,A3,True
29,10595.0,0,MOW,2.0,KupiBilet.ru,2022-02-02T10:47:35,0,TER,2022-02-25,FR,True
30,9356.0,0,MOW,2.0,Kiwi.com,2022-02-08T13:29:56,0,PDL,2022-02-25,PC,True
31,9031.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T10:28:05,0,DEL,2022-02-25,5W,True
32,7478.0,0,MOW,1.0,Mytrip.com,2022-02-09T10:17:30,0,IEV,2022-02-22,LO,True
33,1920.0,0,MOW,0.0,Smartavia,2022-02-09T09:47:31,0,RTW,2022-02-23,5N,True
34,6134.0,0,MOW,1.0,Kiwi.com,2022-02-08T13:14:13,0,FKB,2022-02-28,N4,True
35,6057.0,0,MOW,1.0,Kiwi.com,2022-02-08T16:29:09,0,IZM,2022-02-22,PC,True
36,10197.0,0,MOW,2.0,Kiwi.com,2022-02-07T20:38:17,0,ZAD,2022-02-28,N4,True
37,3399.0,0,MOW,0.0,OneTwoTrip,2022-02-09T10:28:29,0,CEK,2022-02-22,DP,True
38,13817.0,0,MOW,1.0,KupiBilet.ru,2022-02-02T13:32:21,0,CND,2022-02-27,TK,True
39,9537.0,0,MOW,1.0,Kiwi.com,2022-02-08T22:40:54,0,THR,2022-02-21,PC,True
40,7751.0,0,MOW,1.0,Kiwi.com,2022-02-05T07:57:25,0,KSY,2022-02-08,PC,True
41,963.0,0,MOW,0.0,City.Travel,2022-02-08T19:12:50,0,BZK,2022-02-28,S7,True
42,8379.0,0,MOW,1.0,Kiwi.com,2022-02-08T18:53:42,0,PRN,2022-02-15,PC,True
43,13162.0,0,MOW,2.0,KupiBilet.ru,2022-02-04T11:09:51,0,BVE,2022-02-11,SU,True
44,6170.0,0,MOW,1.0,Kiwi.com,2022-02-08T17:53:25,0,TZX,2022-02-28,PC,True
45,9246.0,0,MOW,3.0,KupiBilet.ru,2022-02-07T10:08:54,0,GLA,2022-02-28,A3,True
46,7290.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T10:08:10,0,TJU,2022-02-11,U6,True
47,9968.0,0,MOW,3.0,Tickets.ru,2022-02-04T09:11:22,0,VLL,2022-02-14,A3,True
48,10243.0,0,MOW,2.0,KupiBilet.ru,2022-02-04T10:45:10,0,MME,2022-02-12,DP,True
49,2250.0,0,MOW,0.0,Tickets.ru,2022-02-08T20:46:08,0,IAR,2022-02-21,SU,True
50,15042.0,0,MOW,1.0,Kiwi.com,2022-02-08T08:20:23,0,RUH,2022-02-27,DP,True
51,5394.0,0,MOW,0.0,KupiBilet.ru,2022-02-09T08:30:24,0,GZP,2022-02-24,DP,True
52,4844.0,0,MOW,1.0,SuperKassa.ru,2022-02-09T09:08:31,0,NNM,2022-02-21,7R,True
53,8656.0,0,MOW,3.0,KupiBilet.ru,2022-02-08T13:55:59,0,CCF,2022-02-14,A3,True
54,10187.0,0,MOW,2.0,KupiBilet.ru,2022-02-09T09:01:26,0,UKK,2022-02-28,5W,True
55,14882.0,0,MOW,2.0,Kiwi.com,2022-02-02T10:51:02,0,GRZ,2022-02-22,DP,True
56,11718.0,0,MOW,1.0,Kiwi.com,2022-02-09T07:57:23,0,CAS,2022-02-17,PC,True
57,4549.0,0,MOW,0.0,OneTwoTrip,2022-02-09T09:52:58,0,KJA,2022-02-23,DP,True
58,11270.0,0,MOW,1.0,MEGO.travel,2022-02-09T00:49:01,0,RVN,2022-02-12,AY,True
59,8181.0,0,MOW,2.0,KupiBilet.ru,2022-02-04T09:42:40,0,LCG,2022-02-28,A3,True
60,8728.0,0,MOW,0.0,Vayama,2022-02-09T09:13:06,0,GVA,2022-02-13,LX,True
61,8468.0,0,MOW,1.0,Kiwi.com,2022-02-07T19:30:16,0,BGO,2022-02-27,AY,True
62,6154.0,0,MOW,1.0,Kiwi.com,2022-02-09T09:56:09,0,ADA,2022-02-25,PC,True
63,8491.0,0,MOW,3.0,KupiBilet.ru,2022-02-06T23:45:08,0,RZE,2022-02-21,A3,True
64,10178.0,0,MOW,2.0,KupiBilet.ru,2022-02-08T19:06:54,0,PDV,2022-02-23,FR,True
65,6371.0,0,MOW,3.0,KupiBilet.ru,2022-02-09T09:09:03,0,VRN,2022-02-21,A3,True
66,9400.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T09:38:27,0,LJU,2022-02-17,SU,True
67,1499.0,0,MOW,0.0,Red Wings,2022-02-09T10:27:29,0,MRV,2022-02-26,WZ,True
68,8817.0,0,MOW,2.0,KupiBilet.ru,2022-02-08T19:36:14,0,TCI,2022-02-21,FR,True
69,8371.0,0,MOW,1.0,Kiwi.com,2022-02-08T15:43:40,0,KWI,2022-02-24,PC,True
70,3563.0,0,MOW,1.0,KupiBilet.ru,2022-02-09T09:20:39,0,KUT,2022-02-21,5W,True
71,9895.0,0,MOW,2.0,Kiwi.com,2022-02-08T18:53:27,0,OZH,2022-02-09,PC,True
72,2914.0,0,MOW,0.0,OneTwoTrip,2022-02-09T10:05:54,0,GOJ,2022-02-14,U6,True
73,6387.0,0,MOW,1.0,KupiBilet.ru,2022-02-08T19:24:42,0,KSZ,2022-02-17,5N,True
74,7330.0,0,MOW,0.0,MEGO.travel,2022-02-09T10:25:21,0,NYM,2022-02-12,4G,True
75,6526.0,0,MOW,2.0,KupiBilet.ru,2022-02-09T08:51:13,0,LIS,2022-02-21,A3,True
76,6938.0,0,MOW,1.0,Trip.com,2022-02-05T01:12:02,0,SMI,2022-02-14,A3,True
77,12574.0,0,MOW,1.0,Kiwi.com,2022-02-06T22:13:51,0,JAI,2022-02-25,DP,True
78,7547.0,0,MOW,3.0,KupiBilet.ru,2022-02-08T13:42:19,0,STR,2022-02-27,PC,True
79,8885.0,0,MOW,2.0,KupiBilet.ru,2022-02-04T19:26:37,0,BOD,2022-02-09,A3,True
80,1514.0,0,MOW,0.0,MEGO.travel,2022-02-08T19:17:45,0,KLF,2022-02-24,U6,True
81,11660.0,0,MOW,2.0,KupiBilet.ru,2022-02-07T11:27:21,0,SBZ,2022-02-20,S7,True
82,6894.0,0,MOW,3.0,KupiBilet.ru,2022-02-09T07:49:28,0,DTM,2022-02-28,A3,True
